energyfamiliarity,currenthydrogen,currentgeothermal,currentsolar,currentcoal,currentnuclear,currenthydroelectric,currentoil,currentnaturalgas,stdevhydrogen,stdevgeothermal,stdevsolar,stdevcoal,stdevnuclear,stdevhydroelectric,stdevoil,stdevnaturalgas,avgstdevoff,avgoff,hydrogenoff,geothermaloff,solaroff,coaloff,nuclearoff,hydroelectricoff,oiloff,naturalgasoff,wanthydrogen,wantgeothermal,wantsolar,wantcoal,wantnuclear,wanthydroelectric,wantoil,wantnaturalgas,important,worry,personalimpact,futureimpact,age,race,gender,education,householdincome,state,zipcode,ideology,ideologystrength,party,sassy,difwanthydrogen,difwantgeothermal,difwantsolar,difwantcoal,difwantnuclear,difwanthydroelectric,difwantoil,difwantnaturalgas
About the Same,6,8,4,5,7,2,45,23,0.27613209,0.684540845,-0.698443961,-1.051993141,-0.448858731,-0.852876056,1.296375348,0.218476411,0.690962073,13.55,6,7.6,1.3,-20.9,-15.2,-4.2,44.5,-8.7,15,0,75,0,0,10,0,0,Somewhat important,Somewhat Worried,Only a Little,A Moderate Amount,24,White,Man,"Some college, but no degree","$50,000-$74,999",Pennsylvania,15317,Liberal,Weakly,Democrat,Cautious,9,-8,71,-5,-7,8,-45,-23
About the Same,0,0,10,30,0,10,30,20,-0.731140572,-0.766201047,0.112955193,0.556946308,-1.138159859,0.04753929,0.370443989,-0.00021374,0.46545,9.875,0,-0.4,7.3,4.1,-22.2,3.8,29.5,-11.7,50,0,0,0,20,30,0,0,Very Important,Very Worried,A Moderate Amount,A Moderate Amount,18,White,Man,High school diploma or GED,"$50,000-$74,999",Oklahoma,73008,Liberal,Strongly,Independent,Concerned,50,0,-10,-30,20,20,-30,-20
More Than,5,5,10,15,5,20,20,20,0.108253313,0.140512636,0.112955193,-0.408417361,-0.645801911,1.173058473,-0.246843584,-0.00021374,0.354507026,11.25,5,4.6,7.3,-10.9,-17.2,13.8,19.5,-11.7,0,0,50,0,0,50,0,0,Somewhat important,Somewhat Worried,A Moderate Amount,A Moderate Amount,27,White,Man,Bachelor degree,"Less than $25,000",Florida,32839,Moderate,Moderately,Independent,Cautious,-5,-5,40,-15,-5,30,-20,-20
About the Same,1,1,5,15,15,0,33,30,-0.563261795,-0.58485831,-0.563210768,-0.408417361,0.338913986,-1.077979892,0.555630261,0.728753432,0.602628226,7.8,1,0.6,2.3,-10.9,-7.2,-6.2,32.5,-1.7,50,0,45,0,0,0,5,0,Very Important,Very Worried,A Moderate Amount,A Great Deal,23,White,Woman,Bachelor degree,"$50,000-$74,999",New York,11238,Liberal,Strongly,Democrat,Alarmed,49,-1,40,-15,-15,0,-28,-30
About the Same,1,3,10,8,8,5,35,30,-0.563261795,-0.222172837,0.112955193,-0.858920407,-0.350387142,-0.515220301,0.679087776,0.728753432,0.50384486,10.05,1,2.6,7.3,-17.9,-14.2,-1.2,34.5,-1.7,5,5,17,3,25,20,10,15,Very Important,Somewhat Worried,Not at All,A Moderate Amount,27,White,Man,"Some college, but no degree","$50,000-$74,999",Texas,77584,Conservative,Weakly,Republican,Concerned,4,2,7,-5,17,15,-25,-15
More Than,2,3,8,25,7,9,7,39,-0.395383018,-0.222172837,-0.157511191,0.235158419,-0.448858731,-0.065012628,-1.049317429,1.384823887,0.494779768,5.325,2,2.6,5.3,-0.9,-15.2,2.8,6.5,7.3,20,5,10,10,35,5,2,13,Somewhat important,Somewhat Worried,Only a Little,A Moderate Amount,61,White,Man,Graduate or professional degree ,"$100,000-$149,999",Minnesota,55110,Conservative,Strongly,Republican,Cautious,18,2,2,-15,28,-4,-5,-26
About the Same,2,5,3,45,55,2,15,20,-0.395383018,0.140512636,-0.833677153,1.522309978,4.277777573,-0.852876056,-0.55548737,-0.00021374,1.07227969,11.15,2,4.6,0.3,19.1,32.8,-4.2,14.5,-11.7,0,0,0,20,70,0,0,10,Not at all important,Not At All Worried,Not at All,Not At All,27,White,Woman,Graduate or professional degree ,"$75,000-$99,999",Maryland,21202,Conservative,Strongly,Republican,Dismissive,-2,-5,-3,-25,15,-2,-15,-10
More Than,0,0,2,55,5,6,25,7,-0.731140572,-0.766201047,-0.968910345,2.165885758,-0.645801911,-0.402668383,0.061800203,-0.947871065,0.83628491,12.1,0,-0.4,-0.7,29.1,-17.2,-0.2,24.5,-24.7,0,10,80,0,0,0,0,10,Very Important,Very Worried,A Moderate Amount,A Great Deal,72,White,Woman,Graduate or professional degree ,"Less than $25,000",Maine,4987,Liberal,Strongly,Democrat,Alarmed,0,10,78,-55,-5,-6,-25,3
About the Same,20,20,30,20,10,30,20,40,2.626434968,2.860653684,2.817619041,-0.086629471,-0.153443962,2.298577655,-0.246843584,1.457720605,1.568490371,17.075,20,19.6,27.3,-5.9,-12.2,23.8,19.5,8.3,20,10,20,10,25,25,30,40,Very Important,Very Worried,A Moderate Amount,A Moderate Amount,85,White,Man,Graduate or professional degree ,"$100,000-$149,999",Oklahoma,74108,Conservative,Strongly,Republican,Concerned,0,-10,-10,-10,15,-5,10,0
About the Same,2,0,10,5,28,5,40,10,-0.395383018,-0.766201047,0.112955193,-1.051993141,1.619044652,-0.515220301,0.987731562,-0.729180913,0.772213728,12.35,2,-0.4,7.3,-20.9,5.8,-1.2,39.5,-21.7,2,0,10,5,28,5,40,10,Extremely Important,Very Worried,A Great Deal,A Great Deal,42,Black or African American,Woman,Bachelor degree,"$75,000-$99,999",Georgia,30258,Moderate,Moderately,Democrat,Alarmed,0,0,0,0,0,0,0,0
More Than,10,5,15,30,15,10,10,5,0.947647198,0.140512636,0.789121155,0.556946308,0.338913986,0.04753929,-0.864131157,-1.093664499,0.597309529,9.775,10,4.6,12.3,4.1,-7.2,3.8,9.5,-26.7,10,5,50,10,15,5,0,5,Somewhat important,Somewhat Worried,Not at All,Only a Little,27,White,Man,Bachelor degree,"$150,000 or more",Georgia,30171,Conservative,Strongly,Republican,Cautious,0,0,35,-20,0,-5,-10,0
About the Same,5,5,5,20,10,5,40,10,0.108253313,0.140512636,-0.563210768,-0.086629471,-0.153443962,-0.515220301,0.987731562,-0.729180913,0.410522866,11.55,5,4.6,2.3,-5.9,-12.2,-1.2,39.5,-21.7,50,0,50,0,0,30,0,0,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,59,White,Woman,"Some college, but no degree","$100,000-$149,999",New Jersey,8638,Liberal,Strongly,Democrat,Alarmed,45,-5,45,-20,-10,25,-40,-10
About the Same,25,0,35,50,30,40,75,65,3.465828853,-0.766201047,3.493785002,1.844097868,1.815987831,3.424096838,3.148238067,3.280138536,2.654796755,28.9,25,-0.4,32.3,24.1,7.8,33.8,74.5,33.3,40,70,75,30,0,70,50,50,Not too important,Not Very Worried,Only a Little,Only a Little,43,White,Woman,Associates or technical degree,"Less than $25,000",Ohio,45640,Moderate,Strongly,Independent,Doubtful,15,70,40,-20,-30,30,-25,-15
About the Same,0,0,0,5,3,5,90,7,-0.731140572,-0.766201047,-1.23937673,-1.051993141,-0.84274509,-0.515220301,4.074169427,-0.947871065,1.271089671,19.825,0,-0.4,-2.7,-20.9,-19.2,-1.2,89.5,-24.7,0,0,70,0,1,29,0,0,Very Important,Not Very Worried,A Moderate Amount,Only a Little,59,Some other race or origin,Man,Associates or technical degree,"Less than $25,000",Minnesota,55405,Conservative,Weakly,Independent,Doubtful,0,0,70,-5,-2,24,-90,-7
About the Same,5,5,5,15,20,10,5,35,0.108253313,0.140512636,-0.563210768,-0.408417361,0.831271934,0.04753929,-1.172774943,1.093237018,0.545652158,4.575,5,4.6,2.3,-10.9,-2.2,3.8,4.5,3.3,20,5,40,5,10,10,5,5,Extremely Important,Very Worried,A Great Deal,A Great Deal,49,Black or African American,Man,Bachelor degree,"$50,000-$74,999",Virginia,20147,Liberal,Strongly,Democrat,Alarmed,15,0,35,-10,-10,0,0,-30
About the Same,1,3,1,25,10,2,43,15,-0.563261795,-0.222172837,-1.104143538,0.235158419,-0.153443962,-0.852876056,1.172917834,-0.364697327,0.583583971,10.225,1,2.6,-1.7,-0.9,-12.2,-4.2,42.5,-16.7,0,20,50,0,0,10,0,20,Extremely Important,Very Worried,Only a Little,A Great Deal,68,White,Man,Graduate or professional degree ,"$150,000 or more",New York,10804,Liberal,Moderately,Democrat,Alarmed,-1,17,49,-25,-10,8,-43,5
More Than,5,30,10,5,0,10,40,0,0.108253313,4.674081049,0.112955193,-1.051993141,-1.138159859,0.04753929,0.987731562,-1.458148085,1.197357687,20,5,29.6,7.3,-20.9,-22.2,3.8,39.5,-31.7,10,4,5,10,3,38,29,1,Somewhat important,Not Very Worried,Only a Little,Not At All,26,White,Woman,High school diploma or GED,"$25,000-$49,999",Illinois,60532,Moderate,Moderately,Independent,Cautious,5,-26,-5,5,3,28,-11,1
Less Than,15,5,5,20,10,5,20,20,1.787041083,0.140512636,-0.563210768,-0.086629471,-0.153443962,-0.515220301,-0.246843584,-0.00021374,0.436639443,9.05,15,4.6,2.3,-5.9,-12.2,-1.2,19.5,-11.7,0,10,50,0,10,30,0,0,Somewhat important,Somewhat Worried,Only a Little,A Moderate Amount,65,White,Woman,Graduate or professional degree ,"$75,000-$99,999",California,90066,Conservative,Moderately,Republican,Cautious,-15,5,45,-20,0,25,-20,-20
About the Same,0,2,8,28,7,12,29,14,-0.731140572,-0.403515574,-0.157511191,0.428231152,-0.448858731,0.272643127,0.308715232,-0.437594044,0.398526203,9.525,0,1.6,5.3,2.1,-15.2,5.8,28.5,-17.7,10,7,20,0,15,15,0,0,Somewhat important,Not Very Worried,Not at All,A Moderate Amount,81,White,Man,Graduate or professional degree ,"$25,000-$49,999",Indiana,46728,Conservative,Moderately,Republican,Cautious,10,5,12,-28,8,3,-29,-14
About the Same,2,3,6,16,13,12,26,22,-0.395383018,-0.222172837,-0.427977576,-0.344059783,0.141970807,0.272643127,0.12352896,0.145579694,0.259164475,8.5,2,2.6,3.3,-9.9,-9.2,5.8,25.5,-9.7,10,20,40,0,20,0,0,10,Extremely Important,Somewhat Worried,A Moderate Amount,A Moderate Amount,38,Asian or Asian American,Man,Bachelor degree,"$100,000-$149,999",New York,11214,Moderate,Moderately,Independent,Concerned,8,17,34,-16,7,-12,-26,-12
About the Same,4,4,4,11,8,5,34,30,-0.059625464,-0.040830101,-0.698443961,-0.665847673,-0.350387142,-0.515220301,0.617359018,0.728753432,0.459558386,9.3,4,3.6,1.3,-14.9,-14.2,-1.2,33.5,-1.7,100,0,0,0,0,0,0,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,55,Black or African American,Woman,"Some college, but no degree","$50,000-$74,999",North Carolina,27713,Moderate,Moderately,Democrat,Alarmed,96,-4,-4,-11,-8,-5,-34,-30
More Than,5,5,10,25,5,5,35,10,0.108253313,0.140512636,0.112955193,0.235158419,-0.645801911,-0.515220301,0.679087776,-0.729180913,0.395771308,11.55,5,4.6,7.3,-0.9,-17.2,-1.2,34.5,-21.7,25,5,5,5,35,15,5,5,Somewhat important,Not At All Worried,Not at All,A Moderate Amount,25,"White,Hispanic, Latino, or Spanish origin",Man,High school diploma or GED,"$25,000-$49,999",Illinois,60087,Conservative,Moderately,Independent,Cautious,20,0,-5,-20,30,10,-30,-5
About the Same,1,1,3,25,10,5,40,15,-0.563261795,-0.58485831,-0.833677153,0.235158419,-0.153443962,-0.515220301,0.987731562,-0.364697327,0.529756104,9.05,1,0.6,0.3,-0.9,-12.2,-1.2,39.5,-16.7,10,8,35,0,30,17,0,0,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,57,White,Man,Bachelor degree,"$75,000-$99,999",Massachusetts,2445,Liberal,Moderately,Democrat,Alarmed,9,7,32,-25,20,12,-40,-15
About the Same,0,0,20,0,0,10,40,30,-0.731140572,-0.766201047,1.465287117,-1.373781031,-1.138159859,0.04753929,0.987731562,0.728753432,0.904824239,13.85,0,-0.4,17.3,-25.9,-22.2,3.8,39.5,-1.7,0,0,40,0,0,20,0,40,Very Important,Somewhat Worried,A Moderate Amount,A Moderate Amount,24,Black or African American,Woman,High school diploma or GED,"Less than $25,000",Maryland,20744,Liberal,Strongly,Democrat,Concerned,0,0,20,0,0,10,-40,10
About the Same,0,0,0,50,8,2,30,10,-0.731140572,-0.766201047,-1.23937673,1.844097868,-0.350387142,-0.852876056,0.370443989,-0.729180913,0.860463039,12.1,0,-0.4,-2.7,24.1,-14.2,-4.2,29.5,-21.7,20,40,40,0,0,0,0,0,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,65,White,Woman,Graduate or professional degree ,"$150,000 or more",New Jersey,7860,Liberal,Strongly,Democrat,Alarmed,20,40,40,-50,-8,-2,-30,-10
About the Same,0,2,5,20,10,10,10,40,-0.731140572,-0.403515574,-0.563210768,-0.086629471,-0.153443962,0.04753929,-0.864131157,1.457720605,0.538416425,5.45,0,1.6,2.3,-5.9,-12.2,3.8,9.5,8.3,0,10,20,0,30,20,0,20,Very Important,Somewhat Worried,A Moderate Amount,A Great Deal,63,White,Man,Graduate or professional degree ,"$75,000-$99,999",Florida,32406,Moderate,Moderately,Democrat,Concerned,0,8,15,-20,20,10,-10,-20
About the Same,0,0,10,10,0,0,40,40,-0.731140572,-0.766201047,0.112955193,-0.730205251,-1.138159859,-1.077979892,0.987731562,1.457720605,0.875261748,12.475,0,-0.4,7.3,-15.9,-22.2,-6.2,39.5,8.3,10,0,70,0,0,20,0,0,Very Important,Somewhat Worried,A Moderate Amount,A Moderate Amount,29,Black or African American,Man,"Some college, but no degree","$50,000-$74,999",South Carolina,29506,Moderate,Moderately,Independent,Concerned,10,0,60,-10,0,20,-40,-40
About the Same,20,10,15,10,15,10,10,10,2.626434968,1.047226318,0.789121155,-0.730205251,0.338913986,0.04753929,-0.864131157,-0.729180913,0.89659413,12.5,20,9.6,12.3,-15.9,-7.2,3.8,9.5,-21.7,10,10,70,0,0,10,0,0,Extremely Important,Very Worried,A Moderate Amount,A Great Deal,60,White,Man,High school diploma or GED,"Less than $25,000",Georgia,31079,Conservative,Strongly,Independent,Alarmed,-10,0,55,-10,-15,0,-10,-10
About the Same,0,0,40,10,0,0,30,20,-0.731140572,-0.766201047,4.169950964,-0.730205251,-1.138159859,-1.077979892,0.370443989,-0.00021374,1.123036914,15.4,0,-0.4,37.3,-15.9,-22.2,-6.2,29.5,-11.7,0,0,60,0,0,0,20,20,Somewhat important,Not Very Worried,,,57,Black or African American,Woman,Bachelor degree,"$25,000-$49,999",Georgia,31088,Liberal,Weakly,Democrat,,0,0,20,-10,0,0,-10,0
More Than,0,1,5,20,10,10,40,14,-0.731140572,-0.58485831,-0.563210768,-0.086629471,-0.153443962,0.04753929,0.987731562,-0.437594044,0.449018498,10.25,0,0.6,2.3,-5.9,-12.2,3.8,39.5,-17.7,20,20,20,0,0,40,0,0,Extremely Important,Very Worried,Only a Little,A Great Deal,59,White,Woman,Bachelor degree,"Less than $25,000",Oregon,97404,Liberal,Strongly,Democrat,Alarmed,20,19,15,-20,-10,30,-40,-14
About the Same,3,2,10,20,25,5,15,20,-0.227504241,-0.403515574,0.112955193,-0.086629471,1.323629883,-0.515220301,-0.55548737,-0.00021374,0.403144472,6,3,1.6,7.3,-5.9,2.8,-1.2,14.5,-11.7,0,0,50,0,20,20,0,10,Very Important,Very Worried,A Moderate Amount,A Great Deal,69,White,Man,Bachelor degree,"$75,000-$99,999",California,90066,Liberal,Strongly,Democrat,Alarmed,-3,-2,40,-20,-5,15,-15,-10
About the Same,5,0,5,5,5,10,35,35,0.108253313,-0.766201047,-0.563210768,-1.051993141,-0.645801911,0.04753929,0.679087776,1.093237018,0.619415533,10.925,5,-0.4,2.3,-20.9,-17.2,3.8,34.5,3.3,40,0,25,0,5,30,0,0,Very Important,Very Worried,A Great Deal,A Great Deal,27,Black or African American,Man,Graduate or professional degree ,"$75,000-$99,999",Texas,78259,Moderate,Moderately,Independent,Alarmed,35,0,20,-5,0,20,-35,-35
About the Same,1,1,4,7,23,2,45,17,-0.563261795,-0.58485831,-0.698443961,-0.923277985,1.126686703,-0.852876056,1.296375348,-0.218903892,0.783085506,10.75,1,0.6,1.3,-18.9,0.8,-4.2,44.5,-14.7,20,0,55,0,0,25,0,0,Somewhat important,Very Worried,A Moderate Amount,A Great Deal,51,White,Man,Associates or technical degree,"$25,000-$49,999",Arizona,85308,Liberal,Moderately,Independent,Concerned,19,-1,51,-7,-23,23,-45,-17
Much More Than,2,1,2,18,5,2,40,30,-0.395383018,-0.58485831,-0.968910345,-0.215344627,-0.645801911,-0.852876056,0.987731562,0.728753432,0.672457408,9.225,2,0.6,-0.7,-7.9,-17.2,-4.2,39.5,-1.7,10,0,70,20,0,0,0,0,Extremely Important,Very Worried,A Great Deal,A Great Deal,26,Black or African American,Man,Associates or technical degree,"$25,000-$49,999",Maryland,20746,Liberal,Weakly,Green,Alarmed,8,-1,68,2,-5,-2,-40,-30
About the Same,0,10,20,16,4,0,25,25,-0.731140572,1.047226318,1.465287117,-0.344059783,-0.7442735,-1.077979892,0.061800203,0.364269846,0.729504654,11.55,0,9.6,17.3,-9.9,-18.2,-6.2,24.5,-6.7,0,50,50,0,0,0,0,0,Not too important,Somewhat Worried,Not at All,Only a Little,65,White,Woman,Graduate or professional degree ,"$25,000-$49,999",Kansas,66049,Moderate,Moderately,Independent,Cautious,0,40,30,-16,-4,0,-25,-25
Less Than,1,1,15,55,5,10,3,10,-0.563261795,-0.58485831,0.789121155,2.165885758,-0.645801911,0.04753929,-1.296232458,-0.729180913,0.852735199,11.025,1,0.6,12.3,29.1,-17.2,3.8,2.5,-21.7,100,0,0,0,0,0,0,0,Somewhat important,Somewhat Worried,A Moderate Amount,A Moderate Amount,21,White,Man,High school diploma or GED,"$75,000-$99,999",New York,12203,Conservative,Moderately,Republican,Cautious,99,-1,-15,-55,-5,-10,-3,-10
About the Same,0,5,5,20,10,10,40,10,-0.731140572,0.140512636,-0.563210768,-0.086629471,-0.153443962,0.04753929,0.987731562,-0.729180913,0.429923647,11.25,0,4.6,2.3,-5.9,-12.2,3.8,39.5,-21.7,0,5,5,10,10,0,50,20,Not at all important,Not At All Worried,Not at All,Not At All,71,Asian or Asian American,Man,Graduate or professional degree ,"$100,000-$149,999",Hawaii,96706,Conservative,Strongly,Republican,Dismissive,0,0,0,-10,0,-10,10,10
About the Same,5,2,5,8,5,25,20,30,0.108253313,-0.403515574,-0.563210768,-0.858920407,-0.645801911,1.735818064,-0.246843584,0.728753432,0.661389632,10.5,5,1.6,2.3,-17.9,-17.2,18.8,19.5,-1.7,2,2,20,5,2,35,20,14,Somewhat important,Somewhat Worried,A Moderate Amount,A Moderate Amount,65,Black or African American,Woman,Bachelor degree,"$50,000-$74,999",North Carolina,27405,Liberal,Strongly,Democrat,Cautious,-3,0,15,-3,-3,10,0,-16
Much Less Than,5,10,15,5,15,10,15,25,0.108253313,1.047226318,0.789121155,-1.051993141,0.338913986,0.04753929,-0.55548737,0.364269846,0.537850552,10,5,9.6,12.3,-20.9,-7.2,3.8,14.5,-6.7,5,6,60,2,18,4,3,2,Extremely Important,Very Worried,A Great Deal,A Moderate Amount,46,"Hispanic, Latino, or Spanish origin,Black or African American",Man,Graduate or professional degree ,Prefer not to say,Georgia,30078,Moderate,Weakly,Republican,Alarmed,0,-4,45,-3,3,-6,-12,-23
About the Same,5,3,5,15,10,10,28,24,0.108253313,-0.222172837,-0.563210768,-0.408417361,-0.153443962,0.04753929,0.246986474,0.291373129,0.255174642,9,5,2.6,2.3,-10.9,-12.2,3.8,27.5,-7.7,30,10,30,5,5,5,5,10,Extremely Important,Very Worried,A Great Deal,A Great Deal,77,White,Woman,Bachelor degree,"Less than $25,000",California,91344,Liberal,Strongly,Democrat,Alarmed,25,7,25,-10,-5,-5,-23,-14
About the Same,8,1,4,29,4,6,20,28,0.611889644,-0.58485831,-0.698443961,0.49258873,-0.7442735,-0.402668383,-0.246843584,0.582959998,0.545565764,6.825,8,0.6,1.3,3.1,-18.2,-0.2,19.5,-3.7,50,5,50,5,0,0,5,5,Very Important,Very Worried,A Moderate Amount,A Great Deal,62,White,Woman,Bachelor degree,"$50,000-$74,999",California,95687,Liberal,Moderately,Democrat,Alarmed,42,4,46,-24,-4,-6,-15,-23
More Than,9,4,6,35,8,7,13,18,0.779768421,-0.040830101,-0.427977576,0.878734198,-0.350387142,-0.290116465,-0.678944885,-0.146007175,0.449095745,8.275,9,3.6,3.3,9.1,-14.2,0.8,12.5,-13.7,0,0,0,20,25,0,25,30,Not at all important,Not At All Worried,Not at All,Not At All,19,White,Man,High school diploma or GED,"$25,000-$49,999",Ohio,45014,Conservative,Moderately,Independent,Dismissive,-9,-4,-6,-15,17,-7,12,12
About the Same,5,0,5,60,0,0,10,20,0.108253313,-0.766201047,-0.563210768,2.487673647,-1.138159859,-1.077979892,-0.864131157,-0.00021374,0.875727928,11.425,5,-0.4,2.3,34.1,-22.2,-6.2,9.5,-11.7,0,0,0,70,0,0,10,20,Not at all important,Not At All Worried,Not at All,Not At All,60,White,Woman,High school diploma or GED,"$50,000-$74,999",Kentucky,40006,Conservative,Strongly,Republican,Dismissive,-5,0,-5,10,0,0,0,0
About the Same,5,0,15,5,,0,70,5,0.108253313,-0.766201047,0.789121155,-1.051993141,-1.138159859,-1.077979892,2.839594281,-1.093664499,1.108120898,20.4,5,-0.4,12.3,-20.9,-22.2,-6.2,69.5,-26.7,5,0,60,0,0,0,15,20,Somewhat important,Somewhat Worried,Only a Little,A Great Deal,25,Black or African American,Woman,"Some college, but no degree","$25,000-$49,999",Puerto Rico,0,Liberal,Moderately,Democrat,Concerned,0,0,45,-5,0,0,-55,15
About the Same,10,10,10,10,10,10,30,10,0.947647198,1.047226318,0.112955193,-0.730205251,-0.153443962,0.04753929,0.370443989,-0.729180913,0.517330264,13.75,10,9.6,7.3,-15.9,-12.2,3.8,29.5,-21.7,20,10,10,10,10,10,10,20,Somewhat important,Not Very Worried,Only a Little,Only a Little,40,Black or African American,Woman,"Some college, but no degree","$50,000-$74,999",Georgia,39842,Liberal,Moderately,Democrat,Cautious,10,0,0,0,0,0,-20,10
More Than,5,5,20,10,10,10,10,30,0.108253313,0.140512636,1.465287117,-0.730205251,-0.153443962,0.04753929,-0.864131157,0.728753432,0.52976577,8.75,5,4.6,17.3,-15.9,-12.2,3.8,9.5,-1.7,10,10,50,5,5,10,0,10,Very Important,Very Worried,A Moderate Amount,A Great Deal,25,Black or African American,Woman,Graduate or professional degree ,"$50,000-$74,999",Alabama,35147,Liberal,Moderately,Democrat,Alarmed,5,5,30,-5,-5,0,-10,-20
About the Same,0,0,10,0,0,0,25,65,-0.731140572,-0.766201047,0.112955193,-1.373781031,-1.138159859,-1.077979892,0.061800203,3.280138536,1.067769542,14.975,0,-0.4,7.3,-25.9,-22.2,-6.2,24.5,33.3,0,0,20,0,50,0,0,30,Not too important,Not Very Worried,Not at All,Only a Little,63,White,Woman,"Some college, but no degree","$100,000-$149,999",Alabama,36022,Moderate,Strongly,Republican,Doubtful,0,0,10,0,50,0,-25,-35
About the Same,0,0,15,35,0,0,20,30,-0.731140572,-0.766201047,0.789121155,0.878734198,-1.138159859,-1.077979892,-0.246843584,0.728753432,0.794616717,8.925,0,-0.4,12.3,9.1,-22.2,-6.2,19.5,-1.7,0,0,75,0,0,0,0,25,Somewhat important,Somewhat Worried,Only a Little,A Great Deal,65,White,Man,"Some college, but no degree","$25,000-$49,999",Indiana,46814,Liberal,Moderately,Democrat,Concerned,0,0,60,-35,0,0,-20,-5
Much More Than,10,15,15,5,20,20,5,10,0.947647198,1.953940001,0.789121155,-1.051993141,0.831271934,1.173058473,-1.172774943,-0.729180913,1.08112347,12.5,10,14.6,12.3,-20.9,-2.2,13.8,4.5,-21.7,10,10,20,10,10,20,5,5,Very Important,Somewhat Worried,,A Moderate Amount,48,Black or African American,Woman,Bachelor degree,"$75,000-$99,999",California,90247,Liberal,Moderately,Independent,,0,-5,5,5,-10,0,0,-5
About the Same,0,0,10,0,30,0,10,50,-0.731140572,-0.766201047,0.112955193,-1.373781031,1.815987831,-1.077979892,-0.864131157,2.186687777,1.116108062,9.425,0,-0.4,7.3,-25.9,7.8,-6.2,9.5,18.3,5,10,30,0,20,5,10,20,Somewhat important,Somewhat Worried,Only a Little,Only a Little,58,"Hispanic, Latino, or Spanish origin",Man,"Some college, but no degree",Prefer not to say,Texas,79932,Moderate,Moderately,None,Cautious,5,10,20,0,-10,5,0,-30
About the Same,0,0,10,20,10,0,60,0,-0.731140572,-0.766201047,0.112955193,-0.086629471,-0.153443962,-1.077979892,2.222306708,-1.458148085,0.826100616,15.4,0,-0.4,7.3,-5.9,-12.2,-6.2,59.5,-31.7,30,0,40,0,0,30,0,0,Very Important,Very Worried,Only a Little,A Great Deal,68,White,Woman,Associates or technical degree,"$75,000-$99,999",Arizona,85308,Liberal,Strongly,Democrat,Alarmed,30,0,30,-20,-10,30,-60,0
About the Same,5,5,5,30,25,0,15,15,0.108253313,0.140512636,-0.563210768,0.556946308,1.323629883,-1.077979892,-0.55548737,-0.364697327,0.586339687,7.025,5,4.6,2.3,4.1,2.8,-6.2,14.5,-16.7,30,30,40,0,0,0,0,0,Not too important,Not Very Worried,Only a Little,Only a Little,58,White,Woman,Bachelor degree,"$100,000-$149,999",Mississippi,39272,Moderate,Strongly,Republican,Doubtful,25,25,35,-30,-25,0,-15,-15
More Than,11,25,11,5,7,5,7,44,1.115525975,3.767367366,0.248188386,-1.051993141,-0.448858731,-0.515220301,-1.049317429,1.749307474,1.24322235,12.5,11,24.6,8.3,-20.9,-15.2,-1.2,6.5,12.3,22,34,11,5,6,12,8,6,Very Important,Not Very Worried,A Great Deal,A Moderate Amount,53,Asian or Asian American,Woman,Graduate or professional degree ,"$75,000-$99,999",Virginia,22193,Conservative,Strongly,Democrat,Cautious,11,9,0,0,-1,7,1,-38
About the Same,2,3,10,30,20,20,5,10,-0.395383018,-0.222172837,0.112955193,0.556946308,0.831271934,1.173058473,-1.172774943,-0.729180913,0.649217952,7.275,2,2.6,7.3,4.1,-2.2,13.8,4.5,-21.7,10,15,10,0,45,20,0,0,Not at all important,Not Very Worried,Not at All,Only a Little,59,White,Man,Graduate or professional degree ,"$75,000-$99,999",Wyoming,82007,Conservative,Moderately,Republican,Doubtful,8,12,0,-30,25,0,-5,-10
About the Same,0,5,10,20,5,10,30,20,-0.731140572,0.140512636,0.112955193,-0.086629471,-0.645801911,0.04753929,0.370443989,-0.00021374,0.2669046,10,0,4.6,7.3,-5.9,-17.2,3.8,29.5,-11.7,0,0,20,10,0,0,10,60,Somewhat important,Somewhat Worried,Only a Little,A Moderate Amount,61,White,Woman,"Some college, but no degree","$50,000-$74,999",Kentucky,42420,Conservative,Strongly,Republican,Cautious,0,-5,10,-10,-5,-10,-20,40
More Than,1,1,4,8,3,3,40,40,-0.563261795,-0.58485831,-0.698443961,-0.858920407,-0.84274509,-0.740324138,0.987731562,1.457720605,0.841750733,11.375,1,0.6,1.3,-17.9,-19.2,-3.2,39.5,8.3,30,10,20,1,19,15,3,2,Extremely Important,Very Worried,A Great Deal,A Great Deal,39,Asian or Asian American,Man,Bachelor degree,"$50,000-$74,999",Colorado,80014,Moderate,Moderately,Independent,Alarmed,29,9,16,-7,16,12,-37,-38
About the Same,10,0,40,0,0,0,30,20,0.947647198,-0.766201047,4.169950964,-1.373781031,-1.138159859,-1.077979892,0.370443989,-0.00021374,1.230547215,17.9,10,-0.4,37.3,-25.9,-22.2,-6.2,29.5,-11.7,0,0,100,0,0,0,0,0,Somewhat important,Not Very Worried,Only a Little,,27,Black or African American,Woman,High school diploma or GED,"$25,000-$49,999",South Carolina,29209,Moderate,Moderately,Democrat,,-10,0,60,0,0,0,-30,-20
